food_name,serving_unit,serving_unit_label,serving_weight_g,calories,carbohydrate,protein,fat,is_active
오이지,반찬그릇,1,50,10,1.4,0.4,0.4,TRUE
무피클,회분,1,220,132,32,1,0,TRUE
오이피클,반찬그릇,1,30,27,7.5,0.1,0,TRUE
단무지,반찬그릇,1,30,3,0.8,0.1,0,TRUE
오징어젓갈,인분,1,30,49,8.1,3,0.6,TRUE
명란젓,인분,1,30,40,1.4,6.7,0.9,TRUE
생연어,회분,1,100,197,0,20,13,TRUE
생선물회,그릇,1,800,288,41.2,17.1,6.2,TRUE
광어회,회분(손바닥크기),1,100,110,0,20.8,2.3,TRUE
훈제연어,회분,1,100,176,0.5,23.7,8.6,TRUE
육회,반찬그릇,1,90,127,8.5,11.2,5.7,TRUE
육사시미,회분,1,100,150,0,22.1,6.2,TRUE
가래떡,개,1,120,245,55.5,4.6,0.5,TRUE
경단,개,1,20,47,10,1,0.3,TRUE
꿀떡,개,1,14,31,6.7,0.5,0.2,TRUE
시루떡,절편,1,200,434,95.1,10.9,1.2,TRUE
메밀전병,개,1,100,167,21.6,6.2,6.3,TRUE
찰떡,개,1,50,117,24.9,2.3,0.6,TRUE
무지개떡,조각,2,100,228,53,3.5,0.3,TRUE
백설기,절편,1,200,474,103.8,7.7,2,TRUE
송편,개,1,20,44,8.8,1,0.6,TRUE
수수부꾸미,회분,1,100,247,42.1,5.7,6.3,TRUE
수수팥떡,절편,1,200,408,86.1,13.4,1.2,TRUE
쑥떡,개,1,25,62,14.5,0.8,0.1,TRUE
약식,인분,1,120,262,54.3,5.1,2.9,TRUE
인절미,절편,1,200,484,100.1,11.3,4.3,TRUE
절편,개,3,100,179,43.9,3.6,0.3,TRUE
증편,조각,3,100,200,44.1,3.2,1.2,TRUE
찹쌀떡,개,1,20,52,11.8,0.8,0.2,TRUE
매작과,인분,1,30,123,19.8,2.2,4,TRUE
다식,인분,1,30,110,22.2,2.5,1.3,TRUE
약과,인분,1,40,163,31.3,1.6,3.6,TRUE
유과,인분,1,30,125,22.8,0.7,3.5,TRUE
산자,인분,1,30,109,24.6,0.7,0.9,TRUE
깨강정,회분,1,100,472,57,14,21,TRUE
