food_name,main_category,sub_category,detail_category,base_weight,base_unit,base_kcal,carbs,protein,fat,serving_weight,serving_unit,serving_kcal
볶음밥_김치,밥류,볶음밥,김치,100,g,167,15.74,5.32,9.18,330,g,551.10 
볶음밥_새우,밥류,볶음밥,새우,100,g,172,22.85,6.31,6.14,370,g,636.40 
볶음밥_소고기,밥류,볶음밥,소고기,100,g,176,21.76,7.59,6.48,260,g,457.60 
볶음밥_참치,밥류,볶음밥,참치,100,g,180,32.9,4.62,3.27,230,g,414.00 
볶음밥_채소,밥류,볶음밥,채소,100,g,182,28.74,4.72,5.39,260,g,473.20 
볶음밥_표고버섯,밥류,볶음밥,표고버섯,100,g,184,31.79,3.36,4.81,300,g,552.00 
비빔밥,밥류,비빔밥,,100,g,142,18.84,6.86,4.32,450,g,639.00 
비빔밥_돌솥,밥류,비빔밥,돌솥,100,g,147,24.68,5.39,2.95,380,g,558.60 
비빔밥_육회,밥류,비빔밥,육회,100,g,147,22.92,6.39,3.36,300,g,441.00 
삼각김밥_참치마요네즈,밥류,삼각김밥,참치마요네즈,100,g,199,25.45,5.93,8.21,200,g,398.00 
수수밥,밥류,수수밥,,100,g,161,35.02,3.16,0.92,200,g,322.00 
알밥,밥류,알밥,,100,g,128,15.75,4.73,5.11,330,g,422.40 
영양돌솥밥,밥류,영양돌솥밥,,100,g,184,36.06,3.43,2.87,350,g,644.00 
오므라이스,밥류,오므라이스,,100,g,173,20.54,6.5,7.23,400,g,692.00 
자장밥,밥류,자장밥,,100,g,122,15.57,4.27,4.72,470,g,573.40 
잡곡밥,밥류,잡곡밥,,100,g,146,29.33,5.3,0.87,200,g,292.00 
잡채밥,밥류,잡채밥,,100,g,150,25.79,4.02,3.42,550,g,825.00 
주먹밥_소고기,밥류,주먹밥,소고기,100,g,178,34.73,4.76,2.18,200,g,356.00 
짬뽕밥,밥류,짬뽕밥,,100,g,72,11.65,3.2,1.4,900,g,648.00 
차조밥,밥류,차조밥,,100,g,157,34.86,2.84,0.65,200,g,314.00 
찰밥,밥류,찰밥,,100,g,153,33.56,4.39,0.18,280,g,428.40 
초밥_모듬,밥류,초밥,모듬,100,g,160,26.72,9.66,1.59,380,g,608.00 
초밥_유부초밥,밥류,초밥,유부초밥,100,g,194,29.82,5.78,5.77,200,g,388.00 
카레라이스,밥류,카레라이스,,100,g,108,20.74,3.11,1.4,480,g,518.40 
콩나물밥,밥류,콩나물밥,,100,g,123,22.39,4.68,1.58,320,g,393.60 
콩밥_검정콩,밥류,콩밥,검정콩,100,g,165,34.3,4.53,1.12,200,g,330.00 
콩밥_완두콩,밥류,콩밥,완두콩,100,g,138,31.25,2.95,0.16,200,g,276.00 
하이라이스,밥류,하이라이스,,100,g,112,21.34,4.02,1.13,360,g,403.20 
현미밥,밥류,현미밥,,100,g,172,38.9,3.1,0.47,230,g,395.60 
회덮밥_모듬,밥류,회덮밥,모듬,100,g,145,17.76,9.1,4.15,410,g,594.50 
가래떡,빵 및 과자류,가래떡,,100,g,195,43.73,3.92,0.51,100,g,195.00 
경단_깨,빵 및 과자류,경단,깨,100,g,240,38.58,6.28,6.72,100,g,240.00 
꿀떡,빵 및 과자류,꿀떡,,100,g,228,49.48,3.74,1.73,100,g,228.00 
모듬찰떡,빵 및 과자류,모듬찰떡,,100,g,218,42.27,6.78,2.44,100,g,218.00 
백설기,빵 및 과자류,백설기,,100,g,230,50.4,3.71,1.45,100,g,230.00 
송편_깨,빵 및 과자류,송편,깨,100,g,219,42.83,4.65,3.23,100,g,219.00 
시루떡,빵 및 과자류,시루떡,,100,g,224,48.13,3.77,1.85,100,g,224.00 
약식,빵 및 과자류,약식,,100,g,220,45.24,4.21,2.45,100,g,220.00 
인절미,빵 및 과자류,인절미,,100,g,242,50.07,5.64,2.16,100,g,242.00 
절편_쑥,빵 및 과자류,절편,쑥,100,g,192,34.87,7.72,2.42,100,g,192.00 
증편,빵 및 과자류,증편,,100,g,200,44.15,3.17,1.2,100,g,200.00 
찹쌀떡_팥,빵 및 과자류,찹쌀떡,팥,100,g,295,62.93,5.06,2.53,100,g,295.00 
도넛_링도넛,빵 및 과자류,도넛,링도넛,100,g,515,46.16,7.85,33.17,100,g,515.00 
도넛_찹쌀,빵 및 과자류,도넛,찹쌀,100,g,288,55.56,6,4.64,70,g,201.60 
마늘빵,빵 및 과자류,마늘빵,,100,g,438,57.94,12.06,17.58,50,g,219.00 
머핀,빵 및 과자류,머핀,,100,g,384,59.15,5.73,13.84,130,g,499.20 
모닝빵,빵 및 과자류,모닝빵,,100,g,314,52.17,9.5,7.43,70,g,219.80 
모카빵,빵 및 과자류,모카빵,,100,g,339,57.96,8.55,8.05,150,g,508.50 
베이글,빵 및 과자류,베이글,,100,g,306,53.48,10,5.83,120,g,367.20 
샌드위치_닭가슴살,빵 및 과자류,샌드위치,닭가슴살,100,g,240,20.96,12.18,11.92,230,g,552.00 
샌드위치_모듬,빵 및 과자류,샌드위치,모듬,100,g,193,8.44,9.5,13.44,220,g,424.60 
샌드위치_참치,빵 및 과자류,샌드위치,참치,100,g,202,13.78,10.54,11.65,250,g,505.00 
샌드위치_채소,빵 및 과자류,샌드위치,채소,100,g,244,23.82,4.08,14.75,180,g,439.20 
샌드위치_햄_달걀,빵 및 과자류,샌드위치,햄,100,g,220,15.64,12.44,11.92,200,g,440.00 
소보로빵,빵 및 과자류,소보로빵,,100,g,392,55.63,8.27,15.13,70,g,274.40 
식빵,빵 및 과자류,식빵,,100,g,264,50.91,9.34,2.6,100,g,264.00 
초코소라빵,빵 및 과자류,초코소라빵,,100,g,319,51.76,3.29,10.93,70,g,223.30 
츄러스,빵 및 과자류,츄러스,,100,g,361,58.17,6.6,11.29,70,g,252.70 
카스텔라,빵 및 과자류,카스텔라,,100,g,335,47.99,10.03,11.47,70,g,234.50 
케이크_롤케이크,빵 및 과자류,케이크,롤케이크,100,g,312,44.01,7.36,11.83,100,g,312.00 
케이크_생크림케이크,빵 및 과자류,케이크,생크림케이크,100,g,237,27.62,3.45,12.54,100,g,237.00 
크로와상,빵 및 과자류,크로와상,,100,g,446,43.31,7.52,26.98,150,g,669.00 
파이/만주_사과파이,빵 및 과자류,파이/만주,사과파이,100,g,185,34.83,2.54,3.91,100,g,185.00 
페이스트리,빵 및 과자류,페이스트리,,100,g,466,41.5,8.31,29.66,70,g,326.20 
피자_콤비네이션피자,빵 및 과자류,피자,콤비네이션피자,100,g,274,25.54,10.68,14.36,200,g,548.00 
피자빵,빵 및 과자류,피자빵,,100,g,298,31.76,8.85,15.05,200,g,596.00 
햄버거,빵 및 과자류,햄버거,,100,g,264,21.67,12.85,13.98,200,g,528.00 
햄버거_불고기버거,빵 및 과자류,햄버거,불고기버거,100,g,250,22.68,13.88,11.52,200,g,500.00 
호떡_견과류,빵 및 과자류,호떡,견과류,100,g,314,57.12,5.41,7.07,150,g,471.00 
간자장,면 및 만두류,간자장,,100,g,125,15.13,5.12,4.89,500,g,625.00 
국수_막국수,면 및 만두류,국수,막국수,100,g,133,23.9,5.8,1.61,600,g,798.00 
국수_비빔국수,면 및 만두류,국수,비빔국수,100,g,102,20.47,3.01,0.95,500,g,510.00 
국수_잔치국수,면 및 만두류,국수,잔치국수,100,g,44,8.05,1.93,0.49,700,g,308.00 
국수_쟁반막국수,면 및 만두류,국수,쟁반막국수,100,g,119,12.81,6.68,4.56,450,g,535.50 
냉면_물냉면,면 및 만두류,냉면,물냉면,100,g,55,10.31,1.96,0.64,700,g,385.00 
냉면_비빔냉면,면 및 만두류,냉면,비빔냉면,100,g,100,13.35,5.67,2.64,500,g,500.00 
냉면_회냉면_홍어,면 및 만두류,냉면,회냉면,100,g,148,22.21,5.81,4.02,500,g,740.00 
떡국,면 및 만두류,떡국,,100,g,84,16.37,3.43,0.53,700,g,588.00 
떡만두국,면 및 만두류,떡만두국,,100,g,111,15.47,3.53,3.91,600,g,666.00 
라면,면 및 만두류,라면,,100,g,82,13.65,1.72,2.28,550,g,451.00 
라면_달걀,면 및 만두류,라면,달걀,100,g,108,17.33,2.61,3.18,550,g,594.00 
라면_떡,면 및 만두류,라면,떡,100,g,96,15.27,2.04,2.92,550,g,528.00 
